source_id,raw_table_id,row_id,r_kpc,v_rot_kms,v_err_kms,sigma_hi,sigma_h2,sigma_gas,sigma_star,raw_notes,extraction_method,reference
corbelli_et_al_2014,corbelli2014_table1,1,0.24,37.3,6.2,7.12,,,316.59,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,2,0.28,37.9,5.5,7.09,,,292.13,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,3,0.46,47.1,3.9,6.76,,,230.46,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,4,0.64,53.5,2.8,6.38,,,184.39,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,5,0.73,55.1,3.3,6.32,,,164.93,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,6,0.82,58.5,2.5,6.22,,,151.18,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,7,1.08,66.2,3.3,5.84,,,124.13,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,8,1.22,69.4,2.8,5.52,,,111.64,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,9,1.45,74.6,5.0,5.75,,,93.78,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,10,1.71,77.9,2.9,6.12,,,77.0,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,11,1.87,81.7,2.5,6.46,,,68.51,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,12,2.2,86.8,3.0,6.98,,,57.8,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,13,2.28,90.1,2.1,7.07,,,55.47,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,14,2.69,94.4,3.9,6.27,,,44.91,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,15,2.7,95.4,1.8,6.26,,,44.68,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,16,3.12,99.2,2.6,6.33,,,35.99,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,17,3.18,98.7,2.0,6.29,,,34.89,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,18,3.53,101.3,2.4,6.77,,,29.14,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,19,3.66,101.5,1.3,6.83,,,27.25,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,20,4.15,106.3,2.8,6.69,,,21.17,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,21,4.64,109.4,1.4,6.47,,,16.45,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,22,5.13,108.8,1.6,6.19,,,12.78,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,23,5.62,107.3,2.7,6.13,,,9.93,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,24,6.11,108.2,2.2,5.94,,,7.72,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,25,6.6,109.8,1.6,5.62,,,6.0,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,26,7.09,110.1,1.7,5.14,,,4.66,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,27,7.57,111.1,1.6,4.35,,,3.64,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,28,8.06,113.0,2.6,3.2,,,2.83,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,29,8.55,113.9,2.4,2.41,,,2.2,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,30,9.04,115.1,3.2,1.78,,,1.71,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,31,9.53,116.3,3.1,1.26,,,1.33,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,32,10.02,119.1,2.7,0.99,,,1.04,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,33,10.51,121.0,2.7,0.82,,,0.96,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,34,10.99,121.5,2.1,0.72,,,0.89,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,35,11.48,118.6,2.0,0.65,,,0.82,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,36,11.97,118.7,1.9,0.57,,,0.76,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,37,12.46,117.2,1.9,0.48,,,0.7,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,38,12.95,116.2,2.0,0.42,,,0.65,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,39,13.44,118.3,2.4,0.36,,,0.6,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,40,13.93,119.0,2.4,0.34,,,0.55,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,41,14.41,121.3,2.9,0.33,,,0.51,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,42,14.9,121.4,3.7,0.33,,,0.47,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,43,15.39,120.3,3.4,0.26,,,0.44,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,44,15.88,121.9,4.2,0.23,,,0.4,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,45,16.37,126.3,7.2,0.22,,,0.37,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,46,16.86,126.3,4.5,0.21,,,0.34,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,47,17.35,127.2,5.5,0.15,,,0.32,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,48,17.84,126.2,4.7,0.15,,,0.29,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,49,18.32,124.2,12.2,0.11,,,0.27,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,50,18.81,127.2,13.3,0.14,,,0.25,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,51,19.3,120.2,14.2,0.15,,,0.23,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,52,19.79,121.8,13.2,0.17,,,0.22,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,53,20.28,136.0,19.1,0.12,,,0.2,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,54,20.77,128.3,14.3,0.1,,,0.18,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,55,21.26,127.4,15.4,0.09,,,0.17,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,56,21.74,120.1,13.1,0.09,,,0.16,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,57,22.23,112.2,14.9,0.08,,,0.15,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
corbelli_et_al_2014,corbelli2014_table1,58,22.72,119.6,13.4,0.07,,,0.13,Raw Table 1 transcription; surface densities only; not model-ready baryonic velocities,manual_from_pdf_table1,"Corbelli et al. 2014, A&A 572, A23, Table 1"
