source_id,figure_id,row_id,r_kpc,rho_dm_value,rho_dm_unit,model_label,extraction_method,digitization_uncertainty,reference,notes
lopez_fune_salucci_corbelli_2017,Fig6,fig6_obs_01,10.0,3500000.0,M_sun/kpc^3,observed_effective_dm,figure_digitization,0.15,LopezFune2017 Fig.6 page 8; visual digitization from PDF,Effective DM density points (black dots); approximate 15% relative uncertainty
lopez_fune_salucci_corbelli_2017,Fig6,fig6_obs_02,12.0,2300000.0,M_sun/kpc^3,observed_effective_dm,figure_digitization,0.15,LopezFune2017 Fig.6 page 8; visual digitization from PDF,Effective DM density points (black dots); approximate 15% relative uncertainty
lopez_fune_salucci_corbelli_2017,Fig6,fig6_obs_03,14.0,1600000.0,M_sun/kpc^3,observed_effective_dm,figure_digitization,0.15,LopezFune2017 Fig.6 page 8; visual digitization from PDF,Effective DM density points (black dots); approximate 15% relative uncertainty
lopez_fune_salucci_corbelli_2017,Fig6,fig6_obs_04,16.0,1200000.0,M_sun/kpc^3,observed_effective_dm,figure_digitization,0.15,LopezFune2017 Fig.6 page 8; visual digitization from PDF,Effective DM density points (black dots); approximate 15% relative uncertainty
lopez_fune_salucci_corbelli_2017,Fig6,fig6_obs_05,18.0,900000.0,M_sun/kpc^3,observed_effective_dm,figure_digitization,0.15,LopezFune2017 Fig.6 page 8; visual digitization from PDF,Effective DM density points (black dots); approximate 15% relative uncertainty
lopez_fune_salucci_corbelli_2017,Fig6,fig6_obs_06,20.0,700000.0,M_sun/kpc^3,observed_effective_dm,figure_digitization,0.15,LopezFune2017 Fig.6 page 8; visual digitization from PDF,Effective DM density points (black dots); approximate 15% relative uncertainty
lopez_fune_salucci_corbelli_2017,Fig6,fig6_obs_07,22.0,600000.0,M_sun/kpc^3,observed_effective_dm,figure_digitization,0.15,LopezFune2017 Fig.6 page 8; visual digitization from PDF,Effective DM density points (black dots); approximate 15% relative uncertainty
lopez_fune_salucci_corbelli_2017,Fig6,brk_local_08,9.53,3108837.9241620447,M_sun/kpc^3,burkert_local_fit,model_evaluated,,"LopezFune2017 Section 3.3; Eq.9 with rc=9.6 kpc, rho_c=12.3e6",BRK curve matching Fig.6 continuous line parameters
lopez_fune_salucci_corbelli_2017,Fig6,nfw_local_09,9.53,5.134694840781552e-35,M_sun/kpc^3,nfw_local_fit,model_evaluated,,"LopezFune2017 Section 3.3; Eq.3 with c=9.5, M_vir=5.4e11",NFW curve matching Fig.6 dashed line parameters
lopez_fune_salucci_corbelli_2017,Fig6,brk_local_10,10.0,2889347.3126136377,M_sun/kpc^3,burkert_local_fit,model_evaluated,,"LopezFune2017 Section 3.3; Eq.9 with rc=9.6 kpc, rho_c=12.3e6",BRK curve matching Fig.6 continuous line parameters
lopez_fune_salucci_corbelli_2017,Fig6,nfw_local_11,10.0,4.893364183264818e-35,M_sun/kpc^3,nfw_local_fit,model_evaluated,,"LopezFune2017 Section 3.3; Eq.3 with c=9.5, M_vir=5.4e11",NFW curve matching Fig.6 dashed line parameters
lopez_fune_salucci_corbelli_2017,Fig6,brk_local_12,12.0,2133333.3333333335,M_sun/kpc^3,burkert_local_fit,model_evaluated,,"LopezFune2017 Section 3.3; Eq.9 with rc=9.6 kpc, rho_c=12.3e6",BRK curve matching Fig.6 continuous line parameters
lopez_fune_salucci_corbelli_2017,Fig6,nfw_local_13,12.0,4.077803486054016e-35,M_sun/kpc^3,nfw_local_fit,model_evaluated,,"LopezFune2017 Section 3.3; Eq.3 with c=9.5, M_vir=5.4e11",NFW curve matching Fig.6 dashed line parameters
lopez_fune_salucci_corbelli_2017,Fig6,brk_local_14,14.0,1600195.7481248644,M_sun/kpc^3,burkert_local_fit,model_evaluated,,"LopezFune2017 Section 3.3; Eq.9 with rc=9.6 kpc, rho_c=12.3e6",BRK curve matching Fig.6 continuous line parameters
lopez_fune_salucci_corbelli_2017,Fig6,nfw_local_15,14.0,3.495260130903442e-35,M_sun/kpc^3,nfw_local_fit,model_evaluated,,"LopezFune2017 Section 3.3; Eq.3 with c=9.5, M_vir=5.4e11",NFW curve matching Fig.6 dashed line parameters
lopez_fune_salucci_corbelli_2017,Fig6,brk_local_16,16.0,1220955.882352941,M_sun/kpc^3,burkert_local_fit,model_evaluated,,"LopezFune2017 Section 3.3; Eq.9 with rc=9.6 kpc, rho_c=12.3e6",BRK curve matching Fig.6 continuous line parameters
lopez_fune_salucci_corbelli_2017,Fig6,nfw_local_17,16.0,3.0583526145405116e-35,M_sun/kpc^3,nfw_local_fit,model_evaluated,,"LopezFune2017 Section 3.3; Eq.3 with c=9.5, M_vir=5.4e11",NFW curve matching Fig.6 dashed line parameters
