galaxy_id_x,r_kpc,delta_v2_kms2,missing_acceleration_proxy,sign_flag,d_delta_v2_dr_kms2_per_kpc,smoothness_proxy_d2_delta_v2_dr2,residual_spike_flag,source_id_x,data_quality_flag_x,notes_x,v_obs_kms,v_err_kms,v_bar_kms,galaxy_id_y,source_id_y,data_quality_flag_y,notes_y,delta_v2_sign_flag,tau_gradient_raw,tau_raw,v_tau_squared_reconstructed,v_tau_kms,v_tdf_direct_kms,reconstruction_error_kms,gradient_spike_flag,k_tau_used,tau0_used,regularization_method,tau_gradient_smooth,tau_smooth,v_tau_squared_smooth,negative_vtau2_flag,v_tau_smooth_kms,v_tdf_smooth_kms,residual_smooth_kms
M33,0.24,1118.9810317994602,4662.420965831085,positive,-10164.358302502504,50791.073952654304,True,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.,37.3,6.2,16.50178681841877,M33,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.,positive,4662.420965831085,0.0,1118.9810317994602,33.45117384785563,37.29999999999999,-7.105427357601002e-15,True,1.0,0.0,gaussian_radius_smoothing,2455.0584393724234,0.0,589.2140254493816,False,24.273731181039754,29.351711937294578,-7.948288062705419
M33,0.28,712.4066996993596,2544.3096417834267,positive,-8132.715344396332,51712.936828270846,True,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.,37.9,5.5,26.9073094214312,M33,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.,positive,2544.3096417834267,144.13461215229034,712.4066996993596,26.690947898105073,37.9,0.0,True,1.0,0.0,gaussian_radius_smoothing,2438.702608229521,97.87522095203897,682.836730304266,False,26.13114483340265,37.50786624969363,-0.3921337503063711
M33,0.46,894.1487337740182,1943.801595160909,positive,1922.322213941823,26871.91841352493,False,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.,47.1,3.9,36.3904007428605,M33,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.,positive,1943.801595160909,548.0646234772805,894.1487337740182,29.902319872779405,47.1,0.0,False,1.0,0.0,gaussian_radius_smoothing,2364.695347030408,530.1810369254325,1087.7598596339876,False,32.981204641947016,49.11233170864492,2.012331708644922
M33,0.64,1404.4426967184158,2194.4417136225247,positive,1541.1752844726434,531.9228268541428,False,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.,53.5,2.8,38.18124282002334,M33,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.,positive,2194.4417136225247,920.5065212677896,1404.4426967184158,37.475894875485174,53.5,0.0,False,1.0,0.0,gaussian_radius_smoothing,2290.802233461684,949.1758191697209,1466.1134294154779,False,38.28986066069552,54.07329038163908,0.5732903816390831
M33,0.73,1484.9278693861231,2034.1477662823604,positive,1708.2715984652475,2944.41157503425,False,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.,55.1,3.3,39.383780044757984,M33,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.,positive,2034.1477662823604,1110.7930478635094,1484.9278693861231,38.53476183118462,55.1,0.0,False,1.0,0.0,gaussian_radius_smoothing,2254.304436369264,1153.7056193121134,1645.6422385495625,False,40.56651622396927,56.53958232215232,1.4395823221523187
M33,0.82,1711.9315844421603,2087.721444441659,positive,2071.169367978808,3210.565773587058,False,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.,58.5,2.5,41.35599612580792,M33,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.,positive,2087.721444441659,1296.2771623460903,1711.9315844421603,41.37549497519227,58.5,0.0,False,1.0,0.0,gaussian_radius_smoothing,2218.371276975538,1354.9760264126294,1819.064447119941,False,42.650491757070526,59.40860933128952,0.9086093312895187
M33,1.08,1911.613804930841,1770.012782343371,positive,2288.779795949342,888.6048694845795,False,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.,66.2,3.3,49.707405837250846,M33,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.,positive,1770.012782343371,1797.7826118281446,1911.613804930841,43.722005957307594,66.2,0.0,False,1.0,0.0,gaussian_radius_smoothing,2119.925247899205,1918.9545746463461,2289.5192677311416,False,47.84892128074719,68.99525681378613,2.795256813786125
M33,1.22,2346.685732555756,1923.512895537505,positive,2417.077466237404,1368.9875475688657,False,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.,69.4,2.8,49.69581740392489,M33,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.,positive,1923.512895537505,2056.329409279806,2346.685732555756,48.442602454407385,69.4,0.0,False,1.0,0.0,gaussian_radius_smoothing,2071.8757358350936,2212.3806435077468,2527.688397718814,False,50.2761215461059,70.69202688537837,1.2920268853783625
M33,1.45,2641.6732816064905,1821.8436424872348,positive,1238.6558131775064,1053.3760711808982,False,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.,74.6,5.0,54.06927702858166,M33,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.,positive,1821.8436424872348,2487.045411152651,2641.6732816064905,51.39721083489347,74.6,0.0,False,1.0,0.0,gaussian_radius_smoothing,2003.6886786788389,2681.0705511768488,2905.3485840843164,False,53.90128555131423,76.34680937981511,1.7468093798151187
M33,1.71,2950.8213784287527,1725.626537092838,positive,2161.061826582165,2771.5726432853426,False,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.,77.9,2.9,55.83537070326701,M33,corbelli_et_al_2014,derived_baryonic_velocity_pass_with_caveat,Observed rotation from Corbelli et al. 2014 Table 1. Baryonic velocity components derived from Table 1 surface densities using Phase 1D-D1 axisymmetric disk-gravity calculation. Fig. 12 corrected sanity check status: PASS_WITH_CAVEAT; stellar disk offset ~7-10 km/s at some spot-check radii. Fig. 12 digitization is not used as canonical data. Bulge set to zero following Corbelli et al. 2014 no-separate-bulge treatment.,positive,1725.626537092838,2948.2165344980604,2950.8213784287527,54.32146333106972,77.9,0.0,False,1.0,0.0,gaussian_radius_smoothing,1946.0474344554839,3194.5362458843106,3327.741112918877,False,57.68657654011787,80.28281095284423,2.382810952844224
