r_kpc,tau_radial,tau_azimuthal_avg,abs_error
0.24,0.0,,
0.28,81.37363230323395,95.42553912908184,14.051906825847894
0.46,447.5549776677864,457.5300784854325,9.975100817646137
0.64,811.8093808681045,818.6960141433683,6.886633275263762
0.73,992.491375845088,998.5510399823469,6.059664137258892
0.82,1172.209899739954,1177.171240965134,4.961341225180149
1.08,1685.984655900885,1689.6914476936151,3.7067917927302005
1.22,1959.3020842051023,1962.3961366452006,3.0940524400982667
1.45,2403.262376704737,2405.5976216866475,2.335244981910364
1.71,2897.55360653841,2899.109050468564,1.5554439301540697
1.87,3197.7362041125148,3199.231461332397,1.4952572198822054
2.2,3807.24594284501,3808.3853655018565,1.1394226568463637
2.28,3953.055147933764,3954.139092760409,1.0839448266447107
2.69,4688.379093124903,4688.497399777064,0.11830665216075431
2.7,4706.064034696352,4706.168947147851,0.10491245149933093
3.12,5438.0906623372775,5438.512172080074,0.42150974279684306
3.18,5540.95305737809,5541.326922502409,0.37386512431839947
3.53,6132.449244481361,6132.962469851481,0.5132253701194713
3.66,6348.436680390719,6348.487461388113,0.050780997394213045
4.15,7144.475113121649,7143.791033030084,0.6840800915651926
4.64,7911.954359825871,7911.198439335423,0.7559204904473518
5.13,8650.874420503387,8650.009584624757,0.8648358786304016
5.62,9361.235295154196,9360.264565249428,0.9707299047677225
6.11,10043.036983778298,10042.052783648263,0.9842001300348784
6.6,10696.279486375692,10695.135055829796,1.144430545895375
7.09,11320.962802946378,11319.856156062322,1.1066468840563175
7.57,11905.206607821048,11903.900620907243,1.3059869138051
8.06,12473.354392869478,12472.136912029644,1.2174808398340247
8.55,13012.9429918912,13011.516839529038,1.426152362160792
9.04,13523.972404886215,13522.839764163327,1.132640722888027
9.53,14011.97916395292,14011.580174411061,0.3989895418581
10.02,14488.036333288102,14487.899176783052,0.13715650505037047
10.51,14957.68044499016,14957.558325673515,0.12211931664387521
10.99,15411.52190794448,15411.401453290673,0.12045465380651876
11.48,15868.470783107494,15868.342183121043,0.12859998645035375
11.97,16319.00660063738,16318.862505991789,0.1440946455913945
12.46,16763.12936053414,16762.926770379676,0.20259015446572448
12.95,17200.839062797775,17200.61901335277,0.22004944500440615
13.44,17632.135707428282,17631.909585393827,0.2261220344553294
13.93,18057.019294425667,18056.82130634134,0.19798808432824444
14.41,18467.013712771328,18466.791385507706,0.22232726362199173
14.9,18879.202063229663,18878.980020021583,0.22204320807941258
15.39,19284.97735605488,19284.686798837785,0.29055721709300997
15.88,19684.339591246964,19684.066755809436,0.2728354375285562
16.37,20077.288768805924,20077.04109029877,0.247678507152159
16.86,20463.824888731757,20463.545378826617,0.27950990514000296
17.35,20843.947951024467,20843.716142196667,0.23180882780070533
17.84,21217.657955684048,21217.483670804446,0.1742848796020553
18.32,21577.523150515128,21577.26957876508,0.25357175004683086
18.81,21938.537918635662,21938.284751089835,0.2531675458267273
19.3,22293.13962912307,22292.858389218265,0.2812399048052612
19.79,22641.32828197736,22641.034806244355,0.29347573300401564
20.28,22983.10387719852,22982.75950149894,0.3443756995802687
20.77,23318.46641478655,23318.1710133941,0.2954013924500032
21.26,23647.41589474146,23647.133501134645,0.28239360681618564
21.74,23963.434044963877,23963.217701970578,0.21634299329889473
22.23,24279.68828837974,24279.388038258363,0.30025012137775775
22.72,24589.529474162475,,
